,Time (local),Time (server),Price,Movement,Switch Price
1,2014.01.03 00:00,2014.01.03 00:00,0.89058,10 Up,0
2,2014.01.03 00:00,2014.01.03 00:00,0.89058,,0.01
3,2014.01.03 00:59,2014.01.03 00:59,0.88953,10 Down,0
4,2014.01.03 00:59,2014.01.03 00:59,0.88953,,0.89056
5,2014.01.03 02:27,2014.01.03 02:27,0.89053,10 Up,0
6,2014.01.03 02:27,2014.01.03 02:27,0.89053,,0.88951
7,2014.01.03 02:31,2014.01.03 02:31,0.89152,10 Up,0
8,2014.01.03 03:34,2014.01.03 03:34,0.89255,10 Up,0
9,2014.01.03 03:34,2014.01.03 03:34,0.89355,10 Up,0
10,2014.01.03 03:45,2014.01.03 03:45,0.89454,10 Up,0
11,2014.01.03 04:16,2014.01.03 04:16,0.89556,10 Up,0
12,2014.01.03 04:21,2014.01.03 04:21,0.89656,10 Up,0
13,2014.01.03 04:22,2014.01.03 04:22,0.89758,10 Up,0
14,2014.01.03 04:37,2014.01.03 04:37,0.89655,10 Down,0
15,2014.01.03 04:37,2014.01.03 04:37,0.89655,,0.89756
16,2014.01.03 04:58,2014.01.03 04:58,0.89756,10 Up,0
17,2014.01.03 04:58,2014.01.03 04:58,0.89756,,0.89653
18,2014.01.03 05:00,2014.01.03 05:00,0.89855,10 Up,0
19,2014.01.03 05:29,2014.01.03 05:29,0.89751,10 Down,0
20,2014.01.03 05:29,2014.01.03 05:29,0.89751,,0.89853
21,2014.01.03 06:49,2014.01.03 06:49,0.89642,10 Down,0
22,2014.01.03 07:18,2014.01.03 07:18,0.89741,10 Up,0
23,2014.01.03 07:18,2014.01.03 07:18,0.89741,,0.8964
24,2014.01.03 07:53,2014.01.03 07:53,0.89638,10 Down,0
25,2014.01.03 07:53,2014.01.03 07:53,0.89638,,0.89739
26,2014.01.03 08:01,2014.01.03 08:01,0.89738,10 Up,0
27,2014.01.03 08:01,2014.01.03 08:01,0.89738,,0.89636
28,2014.01.03 08:10,2014.01.03 08:10,0.89837,10 Up,0
29,2014.01.03 09:52,2014.01.03 09:52,0.89937,10 Up,0
30,2014.01.03 11:11,2014.01.03 11:11,0.89832,10 Down,0
31,2014.01.03 11:11,2014.01.03 11:11,0.89832,,0.89935
32,2014.01.03 12:31,2014.01.03 12:31,0.89933,10 Up,0
33,2014.01.03 12:31,2014.01.03 12:31,0.89933,,0.8983
34,2014.01.03 13:38,2014.01.03 13:38,0.90035,10 Up,0
35,2014.01.03 14:05,2014.01.03 14:05,0.89926,10 Down,0
36,2014.01.03 14:05,2014.01.03 14:05,0.89926,,0.90033
37,2014.01.03 15:32,2014.01.03 15:32,0.90026,10 Up,0
38,2014.01.03 15:32,2014.01.03 15:32,0.90026,,0.89924
39,2014.01.03 15:55,2014.01.03 15:55,0.89923,10 Down,0
40,2014.01.03 15:55,2014.01.03 15:55,0.89923,,0.90024
41,2014.01.03 15:59,2014.01.03 15:59,0.89817,10 Down,0
42,2014.01.03 16:35,2014.01.03 16:35,0.89705,10 Down,0
43,2014.01.03 17:39,2014.01.03 17:39,0.89806,10 Up,0
44,2014.01.03 17:39,2014.01.03 17:39,0.89806,,0.89703
45,2014.01.03 20:02,2014.01.03 20:02,0.89703,10 Down,0
46,2014.01.03 20:02,2014.01.03 20:02,0.89703,,0.89804
47,2014.01.03 20:19,2014.01.03 20:19,0.89595,10 Down,0
48,2014.01.03 20:58,2014.01.03 20:58,0.89485,10 Down,0
49,2014.01.03 20:59,2014.01.03 20:59,0.8938,10 Down,0
50,2014.01.03 21:16,2014.01.03 21:16,0.89483,10 Up,0
51,2014.01.03 21:16,2014.01.03 21:16,0.89483,,0.89378
52,2014.01.05 22:01,2014.01.05 22:01,0.89588,10 Up,0
53,2014.01.05 22:59,2014.01.05 22:59,0.89484,10 Down,0
54,2014.01.05 22:59,2014.01.05 22:59,0.89484,,0.89586
55,2014.01.05 23:34,2014.01.05 23:34,0.89584,10 Up,0
56,2014.01.05 23:34,2014.01.05 23:34,0.89584,,0.89482
57,2014.01.06 00:07,2014.01.06 00:07,0.89687,10 Up,0
58,2014.01.06 00:46,2014.01.06 00:46,0.89786,10 Up,0
59,2014.01.06 01:45,2014.01.06 01:45,0.89683,10 Down,0
60,2014.01.06 01:45,2014.01.06 01:45,0.89683,,0.89784
61,2014.01.06 02:21,2014.01.06 02:21,0.89579,10 Down,0
62,2014.01.06 03:05,2014.01.06 03:05,0.89475,10 Down,0
63,2014.01.06 04:10,2014.01.06 04:10,0.89575,10 Up,0
64,2014.01.06 04:10,2014.01.06 04:10,0.89575,,0.89473
65,2014.01.06 04:33,2014.01.06 04:33,0.89471,10 Down,0
66,2014.01.06 04:33,2014.01.06 04:33,0.89471,,0.89573
67,2014.01.06 05:12,2014.01.06 05:12,0.8957,10 Up,0
68,2014.01.06 05:12,2014.01.06 05:12,0.8957,,0.89469
69,2014.01.06 05:59,2014.01.06 05:59,0.89466,10 Down,0
70,2014.01.06 05:59,2014.01.06 05:59,0.89466,,0.89568
71,2014.01.06 06:50,2014.01.06 06:50,0.89566,10 Up,0
72,2014.01.06 06:50,2014.01.06 06:50,0.89566,,0.89464
73,2014.01.06 07:20,2014.01.06 07:20,0.89666,10 Up,0
74,2014.01.06 07:54,2014.01.06 07:54,0.89562,10 Down,0
75,2014.01.06 07:54,2014.01.06 07:54,0.89562,,0.89664
76,2014.01.06 08:41,2014.01.06 08:41,0.89456,10 Down,0
77,2014.01.06 10:03,2014.01.06 10:03,0.89555,10 Up,0
78,2014.01.06 10:03,2014.01.06 10:03,0.89555,,0.89454
79,2014.01.06 10:44,2014.01.06 10:44,0.89654,10 Up,0
80,2014.01.06 11:16,2014.01.06 11:16,0.89551,10 Down,0
81,2014.01.06 11:16,2014.01.06 11:16,0.89551,,0.89652
82,2014.01.06 12:40,2014.01.06 12:40,0.89439,10 Down,0
83,2014.01.06 15:04,2014.01.06 15:04,0.89538,10 Up,0
84,2014.01.06 15:04,2014.01.06 15:04,0.89538,,0.89437
85,2014.01.06 15:14,2014.01.06 15:14,0.89435,10 Down,0
86,2014.01.06 15:14,2014.01.06 15:14,0.89435,,0.89536
87,2014.01.06 15:53,2014.01.06 15:53,0.89535,10 Up,0
88,2014.01.06 15:53,2014.01.06 15:53,0.89535,,0.89433
89,2014.01.06 17:09,2014.01.06 17:09,0.89634,10 Up,0
90,2014.01.06 17:56,2014.01.06 17:56,0.89736,10 Up,0
91,2014.01.06 19:57,2014.01.06 19:57,0.89631,10 Down,0
92,2014.01.06 19:57,2014.01.06 19:57,0.89631,,0.89734
93,2014.01.07 00:33,2014.01.07 00:33,0.89526,10 Down,0
94,2014.01.07 00:38,2014.01.07 00:38,0.89423,10 Down,0
95,2014.01.07 00:39,2014.01.07 00:39,0.8932,10 Down,0
96,2014.01.07 00:58,2014.01.07 00:58,0.8942,10 Up,0
97,2014.01.07 00:58,2014.01.07 00:58,0.8942,,0.89318
98,2014.01.07 01:56,2014.01.07 01:56,0.89317,10 Down,0
99,2014.01.07 01:56,2014.01.07 01:56,0.89317,,0.89418
100,2014.01.07 02:44,2014.01.07 02:44,0.89418,10 Up,0
101,2014.01.07 02:44,2014.01.07 02:44,0.89418,,0.89315
102,2014.01.07 03:41,2014.01.07 03:41,0.89314,10 Down,0
103,2014.01.07 03:41,2014.01.07 03:41,0.89314,,0.89416
104,2014.01.07 04:57,2014.01.07 04:57,0.89205,10 Down,0
105,2014.01.07 07:50,2014.01.07 07:50,0.89304,10 Up,0
106,2014.01.07 07:50,2014.01.07 07:50,0.89304,,0.89203
107,2014.01.07 09:10,2014.01.07 09:10,0.89201,10 Down,0
108,2014.01.07 09:10,2014.01.07 09:10,0.89201,,0.89302
109,2014.01.07 12:10,2014.01.07 12:10,0.893,10 Up,0
110,2014.01.07 12:10,2014.01.07 12:10,0.893,,0.89199
111,2014.01.07 12:15,2014.01.07 12:15,0.89399,10 Up,0
112,2014.01.07 12:59,2014.01.07 12:59,0.89295,10 Down,0
113,2014.01.07 12:59,2014.01.07 12:59,0.89295,,0.89397
114,2014.01.07 13:33,2014.01.07 13:33,0.89192,10 Down,0
115,2014.01.07 15:04,2014.01.07 15:04,0.89087,10 Down,0
116,2014.01.07 15:08,2014.01.07 15:08,0.88983,10 Down,0
117,2014.01.07 15:26,2014.01.07 15:26,0.89084,10 Up,0
118,2014.01.07 15:26,2014.01.07 15:26,0.89084,,0.88981
119,2014.01.07 16:10,2014.01.07 16:10,0.89183,10 Up,0
120,2014.01.07 17:06,2014.01.07 17:06,0.89282,10 Up,0
121,2014.01.07 19:41,2014.01.07 19:41,0.89178,10 Down,0
